Title,Price,Area,Area-Type
"2 BHK Flat for Sale in Bejai Kapikad Road, Mangalore",Call for Price,1140 sqft,Super Area
"2 BHK Flat for Sale in Moodabidri, Mangalore",₹30 Lac,1000 sqft,Super Area
"2 BHK Flat for Sale in Shiva bagh, Mangalore",₹42 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Nantoor, Mangalore",Call for Price,1380 sqft,Carpet Area
"3 BHK Flat for Sale in Padil, Mangalore",₹90 Lac,2220 sqft,Super Area
"3 BHK Flat for Sale in Kodalguttu, Mangalore",₹75 Lac,1750 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.22 Cr,1650 sqft,Carpet Area
"2 BHK Flat for Sale in Bunder, Mangalore",₹25 Lac,800 sqft,Super Area
"2 BHK Flat for Sale in Bunder, Mangalore",₹55 Lac,1100 sqft,Super Area
"2 BHK Flat for Sale in Matadakani, Mangalore",₹74 Lac,1225 sqft,Carpet Area
"3 BHK Flat for Sale in Kulashekara, Mangalore",₹50 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Kulashekara, Mangalore",₹55 Lac,1570 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹75 Lac,1025 sqft,Carpet Area
"2 BHK Flat for Sale in Padavinangady, Mangalore",₹84 Lac,1316 sqft,Carpet Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹79 Lac,1100 sqft,Carpet Area
"2 BHK Flat for Sale in Maroli, Mangalore",₹30 Lac,900 sqft,Super Area
"2 BHK Flat for Sale in Ballalbagh, Mangalore",₹35 Lac,73 sqm,Super Area
"2 BHK Flat for Sale in Ballalbagh, Mangalore",₹40 Lac,700 sqft,Super Area
"2 BHK Flat for Sale in Ballalbagh, Mangalore",₹45 Lac,900 sqft,Super Area
"3 BHK Flat for Sale in Attavar, Mangalore",₹1.10 Cr,1630 sqft,Carpet Area
"1 BHK Flat for Sale in Attavar, Mangalore",₹37 Lac,800 sqft,Super Area
"2 BHK Flat for Sale in Mangaladevi, Mangalore",₹68.3 Lac,1390 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.15 Cr,1625 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹46 Lac,1080 sqft,Carpet Area
"2 BHK Flat for Sale in Arya Samaj Road, Mangalore",₹65 Lac,1250 sqft,Carpet Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹45 Lac,1203 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹75 Lac,1675 sqft,Super Area
"2 BHK Flat for Sale in Ballalbagh, Mangalore",₹75 Lac,1250 sqft,Super Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹50 Lac,1200 sqft,Super Area
"2 BHK Flat for Sale in Kodialbail, Mangalore",₹85 Lac,1227 sqft,Super Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹46.6 Lac,1165 sqft,Super Area
"2 BHK Flat for Sale in Airport road, Mangalore",₹27 Lac,825 sqft,Carpet Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹42.3 Lac,715 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹65.4 Lac,1410 sqft,Carpet Area
"2 BHK Flat for Sale in Kottara, Mangalore",₹42 Lac,880 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹45 Lac,1140 sqft,Carpet Area
"3 BHK Flat for Sale in Ashok Nagar, Mangalore",₹75 Lac,1468 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹46 Lac,998 sqft,Carpet Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹30 Lac,701 sqft,Super Area
"2 BHK Flat for Sale in Kuntikana, Mangalore",₹70 Lac,1080 sqft,Super Area
"2 BHK Flat for Sale in Kottara, Mangalore",₹52 Lac,1000 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.05 Cr,1435 sqft,Super Area
1 BHK Flat for Sale in Mangalore,₹40 Lac,770 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.25 Cr,1625 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1.20 Cr,1117 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹49.3 Lac,985 sqft,Super Area
"3 BHK Flat for Sale in Bendoorwell, Mangalore",₹1.05 Cr,1950 sqft,Carpet Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹31.3 Lac,715 sqft,Carpet Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹65.4 Lac,1500 sqft,Carpet Area
3 BHK Flat for Sale in Mangalore,₹65 Lac,1570 sqft,Carpet Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹1332.66 Cr,1333 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.12 Cr,1625 sqft,Super Area
"2 BHK Flat for Sale in Bondel, Mangalore",₹372.64 Cr,910 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹41.9 Lac,932 sqft,Super Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹79 Lac,1360 sqft,Super Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹32.6 Lac,701 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹80 Lac,1720 sqft,Carpet Area
"3 BHK Flat for Sale in Kuttar Junction, Mangalore",₹42 Lac,1400 sqft,Carpet Area
"2 BHK Flat for Sale in Ashok Nagar, Mangalore",₹42 Lac,940 sqft,Carpet Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹98 Lac,1224 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
"3 BHK Flat for Sale in Ladyhill, Mangalore",₹1.73 Cr,2299 sqft,Super Area
"4 BHK Flat for Sale in Kudroli, Mangalore",₹3.77 Cr,4054 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.56 Cr,1987 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹69 Lac,1055 sqft,Super Area
"4 BHK Flat for Sale in Ladyhill, Mangalore",₹2.52 Cr,3366 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹55 Lac,1150 sqft,Super Area
"2 BHK Flat for Sale in Thokkttu, Mangalore",₹40 Lac,1400 sqft,Super Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹48 Lac,1250 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹45 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹42 Lac,1047 sqft,Super Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹65 Lac,1170 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.16 Cr,1625 sqft,Super Area
"3 BHK Flat for Sale in Konchady Cross Road, Mangalore",₹50 Lac,1400 sqft,Super Area
"3 BHK Flat for Sale in Mallikatte, Mangalore",₹90 Lac,1750 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.31 Cr,1625 sqft,Super Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹48 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Ladyhill, Mangalore",₹1.77 Cr,2363 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹3.98 Cr,4291 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.62 Cr,2074 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.54 Cr,1967 sqft,Super Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹1.88 Cr,1715 sqft,Super Area
"3 BHK Flat for Sale in Kulai, Mangalore",₹1.20 Cr,1870 sqft,Super Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹663.06 Cr,1010 sqft,Super Area
"2 BHK Flat for Sale in Nantoor, Mangalore",₹37 Lac,1297 sqft,Carpet Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹58 Lac,1120 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹57 Lac,1187 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.50 Cr,1940 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹45 Lac,1200 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹69 Lac,1055 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai Kapikad Road, Mangalore",₹1.05 Cr,1279 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹1.95 Cr,2074 sqft,Carpet Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹1.30 Cr,1780 sqft,Carpet Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹18 Lac,450 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹68 Lac,1525 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹35 Lac,840 sqft,Super Area
"2 BHK Flat for Sale in Kulashekara, Mangalore",₹15.7 Lac,800 sqft,Super Area
"2 BHK Flat for Sale in Kulashekara, Mangalore",₹45 Lac,1170 sqft,Super Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹99 Lac,1585 sqft,Carpet Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹53 Lac,1150 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai Kapikad Road, Mangalore",₹26 Lac,850 sqft,Super Area
"2 BHK Flat for Sale in Attavar, Mangalore",₹32 Lac,1000 sqft,Super Area
"1 BHK Flat for Sale in Bondel, Mangalore",₹25 Lac,470 sqft,Super Area
"2 BHK Flat for Sale in Kulashekara, Mangalore",₹75 Lac,1170 sqft,Carpet Area
"4 BHK Flat for Sale in Bejai, Mangalore",₹1.85 Cr,2237 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.50 Cr,1740 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1.05 Cr,1278 sqft,Super Area
"2 BHK Flat for Sale in Derelakatai, Mangalore",₹40 Lac,1035 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹30 Lac,980 sqft,Super Area
"2 BHK Flat for Sale in Chilimbi, Mangalore",₹932.20 Cr,1154 sqft,Super Area
"3 BHK Flat for Sale in Urwa, Mangalore",₹65 Lac,1350 sqft,Carpet Area
"3 BHK Flat for Sale in Kulashekara, Mangalore",₹62 Lac,1550 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹85 Lac,1850 sqft,Carpet Area
"2 BHK Flat for Sale in Bendoor, Mangalore",₹58 Lac,1000 sqft,Carpet Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
"2 BHK Flat for Sale in Pandeshwar, Mangalore",₹45 Lac,1060 sqft,Carpet Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.54 Cr,1967 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
"2 BHK Flat for Sale in Bejai Kapikad Road, Mangalore",₹1.15 Cr,1345 sqft,Super Area
1 BHK Flat for Sale in Mangalore,₹28 Lac,650 sqft,Carpet Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹24 Lac,490 sqft,Super Area
"2 BHK Flat for Sale in Kaprigudda mens hostel, Mangalore",₹24 Lac,760 sqft,Super Area
"2 BHK Flat for Sale in Balmatta Road, Mangalore",₹50 Lac,1000 sqft,Super Area
"2 BHK Flat for Sale in Bejai New Road, Mangalore",₹1.15 Cr,1345 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.35 Cr,1589 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1.15 Cr,1344 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1.15 Cr,1345 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1.05 Cr,1279 sqft,Super Area
"4 BHK Flat for Sale in Bejai New Road, Mangalore",₹1.85 Cr,2237 sqft,Super Area
"3 BHK Flat for Sale in Bejai New Road, Mangalore",₹1.50 Cr,1740 sqft,Super Area
"3 BHK Flat for Sale in Bejai New Road, Mangalore",₹1.35 Cr,1589 sqft,Super Area
"2 BHK Flat for Sale in Mannagudda, Mangalore",₹67 Lac,1250 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹23 Lac,980 sqft,Super Area
"2 BHK Flat for Sale in Mannagudda, Mangalore",₹35 Lac,1000 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹55 Lac,1133 sqft,Carpet Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹80 Lac,1250 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹46 Lac,1035 sqft,Super Area
"2 BHK Flat for Sale in Kottara, Mangalore",₹45 Lac,808 sqft,Carpet Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹98 Lac,1224 sqft,Super Area
"3 BHK Flat for Sale in Hampankatta, Mangalore",₹98 Lac,1402 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.45 Cr,1600 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai New Road, Mangalore",₹1.05 Cr,1279 sqft,Super Area
"1 BHK Flat for Sale in Shakti Nagar, Mangalore",₹28 Lac,560 sqft,Carpet Area
"3 BHK Flat for Sale in Pumpwell, Mangalore",₹65 Lac,1600 sqft,Carpet Area
"2 BHK Flat for Sale in Jeppinamogaru, Mangalore",₹43.5 Lac,1275 sqft,Super Area
"3 BHK Flat for Sale in Kodialbail, Mangalore",₹75 Lac,950 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹65 Lac,1505 sqft,Carpet Area
"1 BHK Flat for Sale in Derebail, Mangalore",₹38 Lac,770 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹45 Lac,1080 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹75 Lac,1572 sqft,Super Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹78.4 Lac,1370 sqft,Super Area
"2 BHK Flat for Sale in Kadri Hills, Mangalore",₹98 Lac,1450 sqft,Super Area
"2 BHK Flat for Sale in Kottara, Mangalore",₹55 Lac,994 sqft,Super Area
"2 BHK Flat for Sale in Mannagudda, Mangalore",₹72 Lac,1275 sqft,Carpet Area
3 BHK Flat for Sale in Mangalore,₹1.20 Cr,1600 sqft,Carpet Area
"3 BHK Flat for Sale in Kankanady, Mangalore",₹87 Lac,1880 sqft,Carpet Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹1.78 Cr,1121 sqft,Carpet Area
"2 BHK Flat for Sale in Bondel, Mangalore",₹27 Lac,800 sqft,Super Area
"3 BHK Flat for Sale in Kulai, Mangalore",₹2.65 Cr,1622 sqft,Carpet Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹61.6 Lac,1065 sqft,Super Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹61 Lac,1055 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹42.3 Lac,715 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹42.1 Lac,710 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹41.8 Lac,705 sqft,Super Area
"5 BHK Flat for Sale in Kadri, Mangalore",₹2.80 Cr,4775 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹75 Lac,1500 sqft,Carpet Area
"Studio Apartment for Sale in Kadri Hills, Mangalore",₹42 Lac,765 sqft,Carpet Area
"3 BHK Flat for Sale in Falnir, Mangalore",₹1.30 Cr,2100 sqft,Carpet Area
"1 BHK Flat for Sale in Bondel, Mangalore",₹21 Lac,650 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹52 Lac,1070 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹45 Lac,1100 sqft,Super Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹65 Lac,906 sqft,Carpet Area
"3 BHK Flat for Sale in Padil, Mangalore",₹85 Lac,1500 sqft,Carpet Area
"3 BHK Flat for Sale in Alape, Mangalore",₹50 Lac,1060 sqft,Carpet Area
"3 BHK Flat for Sale in Kotekani, Mangalore",₹80 Lac,1500 sqft,Carpet Area
"3 BHK Flat for Sale in Bajpe, Mangalore",₹69 Lac,2000 sqft,Super Area
"3 BHK Flat for Sale in Bejai New Road, Mangalore",₹70 Lac,1350 sqft,Super Area
"5 BHK Flat for Sale in Kulai, Mangalore",₹11.05 Cr,"10,956 sqft",Super Area
"5 BHK Flat for Sale in Kulai, Mangalore",₹11.41 Cr,"10,956 sqft",Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹7.40 Cr,7314 sqft,Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹7.21 Cr,7124 sqft,Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹5.05 Cr,4956 sqft,Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹4.75 Cr,4657 sqft,Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹4.91 Cr,4817 sqft,Super Area
"3 BHK Flat for Sale in Ashok Nagar, Mangalore",₹1.20 Cr,1435 sqft,Carpet Area
"3 BHK Flat for Sale in Kulai, Mangalore",₹3.57 Cr,2141 sqft,Carpet Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹90 Lac,1650 sqft,Carpet Area
"2 BHK Flat for Sale in Kodailbail, Mangalore",₹50 Lac,1200 sqft,Super Area
"2 BHK Flat for Sale in Ullal, Mangalore",₹25 Lac,870 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.05 Cr,1565 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹55 Lac,1300 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹65 Lac,1200 sqft,Carpet Area
"2 BHK Flat for Sale in Alape, Mangalore",₹35 Lac,850 sqft,Carpet Area
"2 BHK Flat for Sale in Bikarnakatta, Mangalore",₹65 Lac,1243 sqft,Super Area
"1 BHK Flat for Sale in Surathkal, Mangalore",₹45 Lac,700 sqft,Carpet Area
"2 BHK Flat for Sale in Attavar, Mangalore",₹38 Lac,1100 sqft,Super Area
"3 BHK Flat for Sale in Nanthoor, Mangalore",₹1.55 Cr,2300 sqft,Super Area
"2 BHK Flat for Sale in Nanthoor, Mangalore",₹94.8 Lac,1405 sqft,Super Area
"3 BHK Flat for Sale in Nanthoor, Mangalore",₹1.55 Cr,2300 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1224 sqft,Super Area
"3 BHK Flat for Sale in Kankanady Bypass Road, Mangalore",₹1.08 Cr,1646 sqft,Super Area
"3 BHK Flat for Sale in Kankanady Bypass Road, Mangalore",₹1.18 Cr,1831 sqft,Super Area
"4 BHK Flat for Sale in Kankanady Bypass Road, Mangalore",₹2.08 Cr,2870 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1224 sqft,Super Area
"2 BHK Flat for Sale in Kankanady Bypass Road, Mangalore",₹81.4 Lac,1224 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹2.25 Cr,3300 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹96 Lac,1410 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹77 Lac,1196 sqft,Carpet Area
"2 BHK Flat for Sale in Kodailbail, Mangalore",₹52 Lac,900 sqft,Super Area
"2 BHK Flat for Sale in Vamanjoor, Mangalore",Call for Price,1060 sqft,Carpet Area
"2 BHK Flat for Sale in Nanthoor, Mangalore",₹47 Lac,1130 sqft,Carpet Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹70 Lac,1570 sqft,Super Area
"5 BHK Flat for Sale in Kadri, Mangalore",₹2.80 Cr,5055 sqft,Carpet Area
"3 BHK Flat for Sale in Bendoor, Mangalore",₹90 Lac,2300 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹68 Lac,1500 sqft,Carpet Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹85 Lac,1350 sqft,Carpet Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹920.46 Cr,1190 sqft,Super Area
"3 BHK Flat for Sale in Urwa, Mangalore",₹1812.78 Cr,1670 sqft,Super Area
"3 BHK Flat for Sale in Yeyyadi, Mangalore",₹65.3 Lac,1360 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹25 Lac,850 sqft,Super Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹55 Lac,1100 sqft,Carpet Area
3 BHK Flat for Sale in Mangalore,₹1.05 Cr,1965 sqft,Carpet Area
"2 BHK Flat for Sale in Gandhi Nagar, Mangalore",₹81 Lac,1375 sqft,Super Area
"2 BHK Flat for Sale in Yeyyadi, Mangalore",₹60 Lac,1338 sqft,Carpet Area
"3 BHK Flat for Sale in Gandhi Nagar, Mangalore",₹96 Lac,1695 sqft,Carpet Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹80 Lac,1225 sqft,Super Area
"2 BHK Flat for Sale in Padukodi, Mangalore",₹56 Lac,800 sqft,Carpet Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹55 Lac,1091 sqft,Super Area
"3 BHK Flat for Sale in Bolar, Mangalore",₹1.20 Cr,1600 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹94.2 Lac,1225 sqft,Super Area
"2 BHK Flat for Sale in Bunder, Mangalore",₹35 Lac,1000 sqft,Carpet Area
"4 BHK Flat for Sale in Kudroli, Mangalore",₹3.77 Cr,4054 sqft,Super Area
"4 BHK Flat for Sale in Kudroli, Mangalore",₹3.98 Cr,4291 sqft,Super Area
"30490 Sq. ft Plot for Sale in Moodabidiri, Mangalore",1.20 Crore,30490 sqft,Super Area
"3 BHK 1309 Sq. ft Apartment for Sale in Kadri, Mangalore",60 Lakhs,1309 sqft,Super Area
"2 BHK 1065 Sq.ft, Apartment for Sale in Bikarnakatte Kaikamba, Mangalore",53.43 Lakh,1065 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",59.68 Lakh,975 sqft,Super Area
"2 BHK Apartment for Sale in Derebail, Mangalore",71.99 Lakh,1210 sqft,Super Area
"2 BHK 1224 Sqft Apartment for Sale in Alake, Mangalore",85.68 Lakh,1224 sqft,Super Area
"3 BHK 2363 Sqft Apartment for Sale in Chilambi, Mangalore",1.90 Crore,2363 sqft,Super Area
"3 BHK 2074 Sqft Apartment for Sale in Alake, Mangalore",1.45 Crore,2074 sqft,Super Area
"3 BHK 2299 Sqft Apartment for Sale in Chilambi, Mangalore",1.80 Crore,2299 sqft,Super Area
"4 BHK Apartment for Sale in Nanthoor, Mangalore",1.97 Crore,2969 sqft,Super Area
"2 BHK 1115 Sq.ft, Apartment for Sale in Derebail, Mangalore",66.34 Lakh,1115 sqft,Super Area
"4 BHK Apartment for Sale in Kadri, Mangalore",3.96 Crore,6600 sqft,Super Area
"2 BHK Apartment for Sale in Bejai, Mangalore",81.72 Lakh,1135 sqft,Super Area
"4 BHK 2645 Sqft Apartment for Sale in Bendoor, Mangalore",1.97 Crore,2645 sqft,Super Area
"4 BHK 3366 Sqft Apartment for Sale in Chilambi, Mangalore",2.62 Crore,3366 sqft,Super Area
"4 BHK Apartment for Sale in Chilambi, Mangalore",2.78 Crore,3478 sqft,Super Area
"3 BHK 1490 Sqft Apartment for Sale in Bikarnakatte Kaikamba, Mangalore",74.75 Lakh,1490 sqft,Super Area
"3 BHK 1612 Sqft Apartment for Sale in Bendoor, Mangalore",1.20 Crore,1612 sqft,Super Area
"3 BHK Apartment for Sale in Nanthoor, Mangalore",1.20 Crore,1807 sqft,Super Area
"4 BHK 4293 Sqft Apartment for Sale in Alake, Mangalore",3 Crores,4293 sqft,Super Area
"2 BHK 1262 Sqft Apartment for Sale in Kodailbail, Mangalore.",60.45 Lakh,1262 sqft,Super Area
"1 BHK 670 Sqft Apartment for Sale in Urva, Mangalore",32.16 Lakh,670 sqft,Super Area
"3 BHK 2100 Sqft Apartment for Sale in Bikarnakatte Kaikamba, Mangalore",1.15 Crore,2100 sqft,Super Area
"2 BHK 1050 Sq.ft, Apartment for Sale in Kottara, Mangalore",52.50 Lakh,1050 sqft,Super Area
"3 BHK 1380 Sqft Apartment for Sale in Derebail, Mangalore",62.10 Lakh,1380 sqft,Super Area
"3 BHK Apartment for Sale in Derebail, Mangalore",61.87 Lakh,1375 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",1.40 Crore,2014 sqft,Super Area
"1 BHK 653 Sqft Apartment for Sale in Pandeshwar, Mangalore",27.42 Lakh,653 sqft,Super Area
"2 BHK 1010 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",50.68 Lakh,1010 sqft,Super Area
"1 BHK 677 Sqft Apartment for Sale in Bejai, Mangalore",45 Lakhs,677 sqft,Super Area
"1 BHK 698 Sqft Apartment for Sale in Bejai, Mangalore",46.39 Lakh,698 sqft,Super Area
"1 BHK 680 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",34.12 Lakh,680 sqft,Super Area
"3 BHK 1410 Sqft Apartment for Sale in Neermarga, Mangalore",43.11 Lakh,1410 sqft,Super Area
"1 BHK 660 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",33.11 Lakh,660 sqft,Super Area
"2 BHK 1091 Sqft Apartment for Sale in Derebail, Mangalore",50.69 Lakh,1091 sqft,Super Area
"2 BHK 950 Sqft Apartment for Sale in Bondel, Mangalore",38 Lakhs,950 sqft,Super Area
"3 BHK 1440 Sqft Apartment for Sale in Attavar, Mangalore",64.80 Lakh,1440 sqft,Super Area
"2 BHK 1000 Sqft Apartment for Sale in Kadri, Mangalore",55 Lakhs,1000 sqft,Super Area
"3500 Sq.ft Plot for Sale in Kulai, Mangalore",52.50 Lakh,3500 sqft,Super Area
"3 BHK 1600 Sqft Apartment for Sale in Gandhi Nagar, Mangalore",80 Lakhs,1600 sqft,Super Area
"2 BHK 900 Sqft Apartment for Sale in Kankanady, Mangalore",34.20 Lakh,900 sqft,Super Area
"3 BHK 1240 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",62.22 Lakh,1240 sqft,Super Area
