Title,Price,Area,Area-Type
"2 BHK 1020 Sq.ft, Apartment for Sale in Yeyyadi, Mangalore",43.35 Lakh,1020 sqft,Super Area
"2 BHK 1045 Sqft Apartment for Sale in Chilambi, Mangalore",73.15 Lakh,1045 sqft,Super Area
"2 BHK 1105 Sq.ft, Apartment for Sale in Urva, Mangalore",53.04 Lakh,1105 sqft,Super Area
"1 BHK 670 Sqft Apartment for Sale in Urva, Mangalore",32.16 Lakh,670 sqft,Super Area
"3 BHK Apartment for Sale in Chilambi, Mangalore",1.09 Crore,1565 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",2.18 Crore,3118 sqft,Super Area
"2 BHK 1180 Sqft Apartment for Sale in Kinnigoli, Mangalore",34.22 Lakh,1180 sqft,Super Area
"2 BHK 875 Sqft Apartment for Sale in Shaktinagar, Mangalore",32.81 Lakh,875 sqft,Super Area
"2 BHK 1130 Sqft Apartment for Sale in Mulki, Mangalore",34.99 Lakh,1130 sqft,Super Area
"3 BHK 1695 Sqft Apartment for Sale in Kadri Kambla, Mangalore",84.75 Lakh,1695 sqft,Super Area
"3 BHK 1600 Sqft Apartment for Sale in Kapikad, Mangalore",72 Lakhs,1600 sqft,Super Area
"3 BHK 1600 Sqft Villa for Sale in Kulai, Mangalore",80 Lakhs,1600 sqft,Super Area
"1 BHK 653 Sqft Apartment for Sale in Pandeshwar, Mangalore",27.42 Lakh,653 sqft,Super Area
"3500 Sq.ft Plot for Sale in Kulai, Mangalore",52.50 Lakh,3500 sqft,Super Area
"3 BHK 1460 Sqft Apartment for Sale in Kankanady, Mangalore",73 Lakhs,1460 sqft,Super Area
"3 BHK 1648 Sqft Apartment for Sale in Konchady, Mangalore",82.40 Lakh,1648 sqft,Super Area
"2 BHK 1010 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",50.68 Lakh,1010 sqft,Super Area
"1 BHK 565 Sqft Apartment for Sale in Mulki, Mangalore",15.84 Lakh,565 sqft,Super Area
"1 BHK 677 Sqft Apartment for Sale in Bejai, Mangalore",45 Lakhs,677 sqft,Super Area
"1 BHK 698 Sqft Apartment for Sale in Bejai, Mangalore",46.39 Lakh,698 sqft,Super Area
"1 BHK 680 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",34.12 Lakh,680 sqft,Super Area
"2 BHK 1105 Sq.ft, Apartment for Sale in Urva, Mangalore",53.04 Lakh,1105 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",1.40 Crore,2014 sqft,Super Area
"2 BHK 1150 Sqft Apartment for Sale in Konchady, Mangalore",46 Lakhs,1150 sqft,Super Area
"3 BHK 1526 Sq.ft, Apartment for Sale in Chilambi, Mangalore",1.06 Crore,1526 sqft,Super Area
"2 BHK Apartment for Sale in Konchady, Mangalore",46 Lakhs,1100 sqft,Super Area
"3 BHK 1900 Sq.ft, Apartment for Sale in Kadri, Mangalore",1.28 Crore,1900 sqft,Super Area
"2 BHK 1155 Sqft Apartment for Sale in Neermarga, Mangalore",35.31 Lakh,1155 sqft,Super Area
"4 BHK 2905 Sqft Apartment for Sale in Chilambi, Mangalore",1.59 Crore,2905 sqft,Super Area
"4+ BHK 4395 Sqft Apartment for Sale in Chilambi, Mangalore",2.41 Crore,4395 sqft,Super Area
"2 BHK 930 Sqft Apartment for Sale in Vamanjoor, Mangalore",32.55 Lakh,930 sqft,Super Area
"3 BHK 1525 Sqft Apartment for Sale in Kottara, Mangalore",67.10 Lakh,1525 sqft,Super Area
"3 BHK 1560 Sqft Apartment for Sale in Kottara, Mangalore",68.64 Lakh,1560 sqft,Super Area
"3 BHK 1500 Sqft Apartment for Sale in Kottara, Mangalore",66 Lakhs,1500 sqft,Super Area
"3 BHK 1713 Sqft Apartment for Sale in Bejai, Mangalore",1.13 Crore,1713 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Neermarga, Mangalore",36.23 Lakh,1185 sqft,Super Area
"3 BHK 1360 Sqft Apartment for Sale in Derebail, Mangalore",66.90 Lakh,1360 sqft,Super Area
"3500 Sq.ft Plot for Sale in Kulai, Mangalore",52.50 Lakh,3500 sqft,Super Area
"4 BHK 2969 Sqft Apartment for Sale in Nanthoor, Mangalore",1.78 Crore,2969 sqft,Super Area
"2 BHK 1190 Sqft Apartment for Sale in Neermarga, Mangalore",36.39 Lakh,1190 sqft,Super Area
"3 BHK 1331 Sqft Apartment for Sale in Derebail, Mangalore",64.68 Lakh,1331 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kottara, Mangalore",46.20 Lakh,1050 sqft,Super Area
"3 BHK 1535 Sqft Apartment for Sale in Maroli, Mangalore",80 Lakhs,1535 sqft,Super Area
"1 BHK 600 Sqft Apartment for Sale in Kotekar, Mangalore",22 Lakhs,600 sqft,Super Area
"2 BHK 1045 Sqft Apartment for Sale in Chilambi, Mangalore",73.15 Lakh,1045 sqft,Super Area
"3 BHK Apartment for Sale in Derebail, Mangalore",82 Lakhs,1770 sqft,Super Area
"2 BHK Apartment for Sale in Surathkal, Mangalore",64.25 Lakh,1285 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",2.18 Crore,3118 sqft,Super Area
"4 BHK 2969 Sqft Apartment for Sale in Nanthoor, Mangalore",1.78 Crore,2969 sqft,Super Area
"2 BHK 1190 Sqft Apartment for Sale in Neermarga, Mangalore",36.39 Lakh,1190 sqft,Super Area
"3 BHK 1331 Sqft Apartment for Sale in Derebail, Mangalore",64.68 Lakh,1331 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Bolar, Mangalore",47.40 Lakh,1185 sqft,Super Area
"3 BHK 1315 Sqft Apartment for Sale in Bondel, Mangalore",46.02 Lakh,1315 sqft,Super Area
"2 BHK 1140 Sqft Apartment for Sale in Ashok Nagar, Mangalore",52.44 Lakh,1140 sqft,Super Area
"3 BHK 1320 Sqft Apartment for Sale in Bejai, Mangalore",70.84 Lakh,1320 sqft,Super Area
"3 BHK 1500 Sqft Apartment for Sale in Bejai, Mangalore",80.50 Lakh,1500 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kottara, Mangalore",46.20 Lakh,1050 sqft,Super Area
"2 BHK 1020 Sqft Apartment for Sale in Hoige Bail, Mangalore",43 Lakhs,1020 sqft,Super Area
"2 BHK 1120 Sqft Apartment for Sale in Gandhi Nagar, Mangalore",72.80 Lakh,1120 sqft,Super Area
"2 BHK 1090 Sqft Apartment for Sale in Jeppinamogaru, Mangalore",43.60 Lakh,1090 sqft,Super Area
"3 BHK 1750 Sqft Apartment for Sale in Kankanady, Mangalore",87.50 Lakh,1750 sqft,Super Area
"2 BHK 960 Sqft Apartment for Sale in Kankanady, Mangalore",48 Lakhs,960 sqft,Super Area
"2 BHK 1020 Sqft Apartment for Sale in Mulki, Mangalore",31.58 Lakh,1020 sqft,Super Area
"3 BHK 1608 Sqft Apartment for Sale in Surathkal, Mangalore",80.40 Lakh,1608 sqft,Super Area
"3 BHK 1320 Sqft Apartment for Sale in Shaktinagar, Mangalore",54.12 Lakh,1320 sqft,Super Area
"2 BHK Apartment for Sale in Surathkal, Mangalore",64.25 Lakh,1285 sqft,Super Area
"2 BHK 1150 Sqft Apartment for Sale in Konchady, Mangalore",46 Lakhs,1150 sqft,Super Area
"2 BHK 1254 Sq.ft, Apartment for Sale in Surathkal, Mangalore",62.70 Lakh,1254 sqft,Super Area
"2 BHK Apartment for Sale in Derebail, Mangalore",57.50 Lakh,1150 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Bolar, Mangalore",47.40 Lakh,1185 sqft,Super Area
"2 BHK 1140 Sqft Apartment for Sale in Ashok Nagar, Mangalore",52.44 Lakh,1140 sqft,Super Area
"3 BHK 1315 Sqft Apartment for Sale in Bondel, Mangalore",46.02 Lakh,1315 sqft,Super Area
"2 BHK 1195 Sqft Apartment for Sale in Kottara, Mangalore",52.58 Lakh,1195 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kottara, Mangalore",46.20 Lakh,1050 sqft,Super Area
"3 BHK 1320 Sqft Apartment for Sale in Bejai, Mangalore",70.84 Lakh,1320 sqft,Super Area
"3 BHK 1500 Sqft Apartment for Sale in Bejai, Mangalore",80.50 Lakh,1500 sqft,Super Area
"4 BHK 2511 Sqft Apartment for Sale in Mannagudda, Mangalore",1.61 Crore,2511 sqft,Super Area
"2 BHK 1020 Sqft Apartment for Sale in Bejai, Mangalore",54.74 Lakh,1020 sqft,Super Area
"1 BHK 655 Sqft Apartment for Sale in Bejai, Mangalore",35.15 Lakh,655 sqft,Super Area
"2 BHK 1020 Sqft Apartment for Sale in Hoige Bail, Mangalore",43 Lakhs,1020 sqft,Super Area
"2 BHK 1120 Sqft Apartment for Sale in Gandhi Nagar, Mangalore",72.80 Lakh,1120 sqft,Super Area
"4 BHK 2593 Sqft Apartment for Sale in Nanthoor, Mangalore",1.55 Crore,2593 sqft,Super Area
"1 BHK 562 Sqft Apartment for Sale in Valencia, Mangalore",26.69 Lakh,562 sqft,Super Area
"2 BHK 1090 Sqft Apartment for Sale in Jeppinamogaru, Mangalore",43.60 Lakh,1090 sqft,Super Area
"2 BHK Apartment for Sale in Shaktinagar, Mangalore",45.10 Lakh,1100 sqft,Super Area
"2 BHK 975 Sq.ft, Apartment for Sale in Kodikal, Mangalore",52.65 Lakh,975 sqft,Super Area
"2 BHK 1150 Sqft Apartment for Sale in Konchady, Mangalore",46 Lakhs,1150 sqft,Super Area
"3 BHK Apartment for Sale in Bejai, Mangalore",80.40 Lakh,1608 sqft,Super Area
"1 BHK 659 Sqft Apartment for Sale in Bejai, Mangalore",32.95 Lakh,659 sqft,Super Area
"3 BHK 1691 Sqft Apartment for Sale in Bejai, Mangalore",84.55 Lakh,1691 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kavoor, Mangalore",45 Lakhs,1050 sqft,Super Area
"3 BHK 1395 Sqft Apartment for Sale in Kavoor, Mangalore",55 Lakhs,1395 sqft,Super Area
"4 BHK 2969 Sqft Apartment for Sale in Nanthoor, Mangalore",1.78 Crore,2969 sqft,Super Area
"2 BHK 1190 Sqft Apartment for Sale in Neermarga, Mangalore",36.39 Lakh,1190 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Mallikatte, Mangalore",72.36 Lakh,1185 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Bolar, Mangalore",47.40 Lakh,1185 sqft,Super Area
"3 BHK 1331 Sqft Apartment for Sale in Derebail, Mangalore",64.68 Lakh,1331 sqft,Super Area
"3 BHK 1315 Sqft Apartment for Sale in Bondel, Mangalore",46.02 Lakh,1315 sqft,Super Area
"2 BHK 1140 Sqft Apartment for Sale in Ashok Nagar, Mangalore",52.44 Lakh,1140 sqft,Super Area
"3 BHK 1320 Sqft Apartment for Sale in Bejai, Mangalore",70.84 Lakh,1320 sqft,Super Area
"3 BHK 1500 Sqft Apartment for Sale in Bejai, Mangalore",80.50 Lakh,1500 sqft,Super Area
"2 BHK 1195 Sqft Apartment for Sale in Kottara, Mangalore",52.58 Lakh,1195 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kottara, Mangalore",46.20 Lakh,1050 sqft,Super Area
"2 BHK 1020 Sqft Apartment for Sale in Hoige Bail, Mangalore",43 Lakhs,1020 sqft,Super Area
"2 BHK 1120 Sqft Apartment for Sale in Gandhi Nagar, Mangalore",72.80 Lakh,1120 sqft,Super Area
"3484 Sqft Plot for Sale in Moodabidiri, Mangalore",22 Lakhs,3484 sqft,Super Area
"2 BHK Apartment for Sale in Konchady, Mangalore",46 Lakhs,1100 sqft,Super Area
"2 BHK 1045 Sqft Apartment for Sale in Chilambi, Mangalore",73.15 Lakh,1045 sqft,Super Area
"2 BHK Apartment for Sale in Derebail, Mangalore",57.50 Lakh,1150 sqft,Super Area
"3 BHK Apartment for Sale in Bejai, Mangalore",80.40 Lakh,1608 sqft,Super Area
"1 BHK Apartment for Sale in Surathkal, Mangalore",30 Lakhs,710 sqft,Super Area
"3 BHK 1410 Sqft Apartment for Sale in Neermarga, Mangalore",43.11 Lakh,1410 sqft,Super Area
"1 BHK 680 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",34.12 Lakh,680 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Neermarga, Mangalore",36.23 Lakh,1185 sqft,Super Area
"1 BHK 660 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",33.11 Lakh,660 sqft,Super Area
"3 BHK 1360 Sqft Apartment for Sale in Derebail, Mangalore",66.90 Lakh,1360 sqft,Super Area
"2 BHK 1091 Sqft Apartment for Sale in Derebail, Mangalore",50.69 Lakh,1091 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kavoor, Mangalore",45 Lakhs,1050 sqft,Super Area
"3 BHK 1395 Sqft Apartment for Sale in Kavoor, Mangalore",55 Lakhs,1395 sqft,Super Area
"4 BHK 2969 Sqft Apartment for Sale in Nanthoor, Mangalore",1.78 Crore,2969 sqft,Super Area
"3 BHK 1460 Sqft Apartment for Sale in Kankanady, Mangalore",73 Lakhs,1460 sqft,Super Area
"2 BHK 1185 Sqft Apartment for Sale in Mallikatte, Mangalore",72.36 Lakh,1185 sqft,Super Area
"2 BHK 1195 Sqft Apartment for Sale in Kottara, Mangalore",52.58 Lakh,1195 sqft,Super Area
"3 BHK 1648 Sqft Apartment for Sale in Konchady, Mangalore",82.40 Lakh,1648 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Kottara, Mangalore",46.20 Lakh,1050 sqft,Super Area
"3 BHK 1240 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",62.22 Lakh,1240 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",49.13 Lakh,1515 sqft,Super Area
"1 BHK Apartment for Sale in Surathkal, Mangalore",30 Lakhs,710 sqft,Super Area
"3 BHK 1320 Sqft Apartment for Sale in Shaktinagar, Mangalore",54.12 Lakh,1320 sqft,Super Area
"2 BHK Apartment for Sale in Bondel, Mangalore",26.12 Lakh,736 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",44.10 Lakh,1360 sqft,Super Area
"2 BHK Apartment for Sale in Mary Hill, Mangalore",29.68 Lakh,1060 sqft,Super Area
"3 BHK 1240 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",62.22 Lakh,1240 sqft,Super Area
"2 BHK 1180 Sqft Apartment for Sale in Neermarga, Mangalore",36.08 Lakh,1180 sqft,Super Area
"2 BHK 1093 Sqft Apartment for Sale in Derebail, Mangalore",50.79 Lakh,1093 sqft,Super Area
"1 BHK 565 Sqft Apartment for Sale in Mulki, Mangalore",15.84 Lakh,565 sqft,Super Area
"3 BHK 1640 Sqft Apartment for Sale in Mallikatte, Mangalore",1 Crore,1640 sqft,Super Area
"2 BHK 1130 Sqft Apartment for Sale in Kadri, Mangalore",50.85 Lakh,1130 sqft,Super Area
"3 BHK 1755 Sqft Apartment for Sale in Kadri, Mangalore",78.97 Lakh,1755 sqft,Super Area
"2 BHK 1175 Sqft Apartment for Sale in Kottara, Mangalore",51.70 Lakh,1175 sqft,Super Area
"2 BHK 1155 Sqft Apartment for Sale in Neermarga, Mangalore",35.31 Lakh,1155 sqft,Super Area
"4+ BHK 4395 Sqft Apartment for Sale in Chilambi, Mangalore",2.41 Crore,4395 sqft,Super Area
"4 BHK 2905 Sqft Apartment for Sale in Chilambi, Mangalore",1.59 Crore,2905 sqft,Super Area
"2 BHK 1190 Sqft Apartment for Sale in Neermarga, Mangalore",36.39 Lakh,1190 sqft,Super Area
"3 BHK 1331 Sqft Apartment for Sale in Derebail, Mangalore",64.68 Lakh,1331 sqft,Super Area
"3 BHK 1600 Sqft Apartment for Sale in Kottara, Mangalore",76 Lakhs,1600 sqft,Super Area
"2 BHK 915 Sqft Apartment for Sale in Ashok Nagar, Mangalore",39.34 Lakh,915 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",49.13 Lakh,1515 sqft,Super Area
"2 BHK Apartment for Sale in Attavar, Mangalore",51.80 Lakh,1295 sqft,Super Area
"2 BHK 955 Sqft Apartment for Sale in Bondel, Mangalore",33.90 Lakh,955 sqft,Super Area
"2 BHK Apartment for Sale in Bondel, Mangalore",26.12 Lakh,736 sqft,Super Area
"2 BHK Apartment for Sale in Attavar, Mangalore",42.60 Lakh,1065 sqft,Super Area
"1100 Sq.ft Plot for Sale in Puttur, Mangalore",20 Lakhs,1100 sqft,Super Area
"3 BHK 1425 Sqft Apartment for Sale in Bantwal, Mangalore",42.75 Lakh,1425 sqft,Super Area
"3 BHK 1385 Sqft Apartment for Sale in Bolar, Mangalore",59.55 Lakh,1385 sqft,Super Area
"1 BHK 696 Sqft Apartment for Sale in Derebail, Mangalore",25.05 Lakh,696 sqft,Super Area
"4 BHK 1900 Sqft Villa for Sale in Kulai, Mangalore",95 Lakhs,1900 sqft,Super Area
"2 BHK 975 Sqft Apartment for Sale in Bejai-Kapikad Road, Mangalore",48.92 Lakh,975 sqft,Super Area
"3 BHK 1325 Sqft Apartment for Sale in Kankanady, Mangalore",50.35 Lakh,1325 sqft,Super Area
"2 BHK 1160 Sqft Apartment for Sale in Jeppinamogaru, Mangalore",46.40 Lakh,1160 sqft,Super Area
"3 BHK 1410 Sqft Apartment for Sale in Kottara, Mangalore",70.50 Lakh,1410 sqft,Super Area
"2 BHK 1080 Sqft Apartment for Sale in Moodabidiri, Mangalore",33.48 Lakh,1080 sqft,Super Area
"1 BHK 700 Sqft Apartment for Sale in Kadri, Mangalore",38.50 Lakh,700 sqft,Super Area
"1 BHK 545 Sqft Apartment for Sale in Mulki, Mangalore",16.87 Lakh,545 sqft,Super Area
"2 BHK 1196 Sqft Apartment for Sale in Bejai, Mangalore",79.49 Lakh,1196 sqft,Super Area
"3 BHK 1645 Sqft Apartment for Sale in Kapikad, Mangalore",74.02 Lakh,1645 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",80.61 Lakh,1225 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",52.81 Lakh,1515 sqft,Super Area
"1100 Sq.ft Plot for Sale in Puttur, Mangalore",20 Lakhs,1100 sqft,Super Area
"2 BHK Apartment for Sale in Derebail, Mangalore",67.18 Lakh,1285 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",40.79 Lakh,1360 sqft,Super Area
"3 BHK 1380 Sqft Apartment for Sale in Derebail, Mangalore",73 Lakhs,1380 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",4.73 Crore,6568 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",59.68 Lakh,975 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",74.99 Lakh,1225 sqft,Super Area
"2 BHK 1225 Sq.ft, Apartment for Sale in Kulai, Mangalore",74.99 Lakh,1225 sqft,Super Area
"3 BHK Apartment for Sale in Shivabaugh, Mangalore",2.03 Crore,2622 sqft,Super Area
"4 BHK Apartment for Sale in Shivabaugh, Mangalore",2.91 Crore,3763 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",3.91 Crore,5052 sqft,Super Area
"3 BHK Apartment for Sale in Shivabaugh, Mangalore",2.03 Crore,2630 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",5.09 Crore,6568 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",5.03 Crore,6500 sqft,Super Area
"4 BHK Apartment for Sale in Shivabaugh, Mangalore",2.82 Crore,3640 sqft,Super Area
"2 BHK 1390 Sq.ft, Apartment for Sale in Derebail, Mangalore",64.87 Lakh,1390 sqft,Super Area
"2 BHK 1155 Sq. ft Apartment for Sale in Kuloor, Mangalore",46 Lakhs,1155 sqft,Super Area
"2 BHK 1100 Sq.ft, Apartment for Sale in Kadri, Mangalore",35.67 Lakh,1100 sqft,Super Area
"1 BHK 786 Sq.ft, Apartment for Sale in Mary Hill, Mangalore",22 Lakhs,786 sqft,Super Area
"1 BHK 512 Sq.ft, Apartment for Sale in Attavar, Mangalore",20.48 Lakh,512 sqft,Super Area
"3 BHK 1265 Sq.ft, Apartment for Sale in Attavar, Mangalore",50.60 Lakh,1265 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",87.05 Lakh,1665 sqft,Super Area
"3 BHK Apartment for Sale in Kottara, Mangalore",1.30 Crore,1835 sqft,Super Area
"2 BHK Apartment for Sale in Kadri, Mangalore",28.79 Lakh,960 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",4.73 Crore,6568 sqft,Super Area
"1 BHK 659 Sqft Apartment for Sale in Derebail, Mangalore",34.46 Lakh,659 sqft,Super Area
"3 BHK Apartment for Sale in Attavar, Mangalore",68 Lakhs,1180 sqft,Super Area
"2 BHK 870 Sq.ft, Apartment for Sale in Kankanady, Mangalore",35 Lakhs,870 sqft,Super Area
"2 BHK 1105 Sqft Apartment for Sale in Gandhi Nagar, Mangalore.",49.72 Lakh,1105 sqft,Super Area
"3 BHK 1344 Sqft Apartment for Sale in Gandhi Nagar, Mangalore.",60.48 Lakh,1344 sqft,Super Area
"2 BHK 1200 Sqft Apartment for Sale in Gandhi Nagar, Mangalore.",54 Lakhs,1200 sqft,Super Area
"2 BHK 1250 Sqft Apartment for Sale in Bondel, Mangalore.",55.97 Lakh,1250 sqft,Super Area
"2 BHK 1005 Sqft Apartment for Sale in Bondel, Mangalore.",45 Lakhs,1005 sqft,Super Area
"2 BHK 1115 Sqft Apartment for Sale in Derebail, Mangalore.",55 Lakhs,1115 sqft,Super Area
"2 BHK 1060 Sqft Apartment for Sale in Mannagudda, Mangalore.",63.59 Lakh,1060 sqft,Super Area
"2 BHK 1190 Sqft Apartment for Sale in Mannagudda, Mangalore.",71.38 Lakh,1190 sqft,Super Area
"2 BHK 1150 Sqft Apartment for Sale in Bejai, Mangalore.",74.75 Lakh,1150 sqft,Super Area
"2 BHK 1285 Sqft Apartment for Sale in Mannagudda, Mangalore.",83.52 Lakh,1285 sqft,Super Area
"3 BHK 1500 Sqft Apartment for Sale in Mannagudda, Mangalore.",89.98 Lakh,1500 sqft,Super Area
"2 BHK 989 Sqft Apartment for Sale in Kodikal, Mangalore.",45.49 Lakh,989 sqft,Super Area
"3 BHK 1612 Sqft Apartment for Sale in Bendoor, Mangalore.",1.04 Crore,1612 sqft,Super Area
"2 BHK 1210 Sqft Apartment for Sale in Derebail, Mangalore.",60 Lakhs,1210 sqft,Super Area
"3 BHK Apartment for Sale in Kulai, Mangalore",1.23 Crore,1870 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",74.99 Lakh,1225 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",45.44 Lakh,1515 sqft,Super Area
"2 BHK Apartment for Sale in Bondel, Mangalore",53.20 Lakh,1400 sqft,Super Area
"3 BHK Apartment for Sale in Kadri, Mangalore",1.91 Crore,3300 sqft,Super Area
"2 BHK Apartment for Sale in Pandeshwar, Mangalore",58.65 Lakh,1150 sqft,Super Area
"2 BHK 1115 Sqft Apartment for Sale in Derebail, Mangalore.",55 Lakhs,1115 sqft,Super Area
"4 BHK 2645 Sqft Apartment for Sale in Bendoor, Mangalore.",1.71 Crore,2645 sqft,Super Area
"3 BHK 1753 Sqft Apartment for Sale in Bejai, Mangalore.",1.10 Crore,1753 sqft,Super Area
"4400 Sq.ft Plot for Sale in Moodabidiri, Mangalore",30.80 Lakh,4400 sqft,Super Area
"2 BHK 1049 Sqft Apartment for Sale in Kodikal, Mangalore.",36.71 Lakh,1049 sqft,Super Area
"3 BHK 1526 Sqft Apartment for Sale in Chilambi, Mangalore.",1.06 Crore,1526 sqft,Super Area
"3 BHK 1565 Sqft Apartment for Sale in Chilambi, Mangalore.",1.09 Crore,1565 sqft,Super Area
"2 BHK 1175 Sqft Apartment for Sale in Chilambi, Mangalore.",82.25 Lakh,1175 sqft,Super Area
"2 BHK 1175 Sqft Apartment for Sale in Bejai, Mangalore.",74.03 Lakh,1175 sqft,Super Area
"2 BHK 1050 Sqft Apartment for Sale in Bejai, Mangalore.",66.15 Lakh,1050 sqft,Super Area
"3 BHK 1706 Sqft Apartment for Sale in Bejai, Mangalore.",1.07 Crore,1706 sqft,Super Area
"2 BHK 1045 Sqft Apartment for Sale in Chilambi, Mangalore.",73.15 Lakh,1045 sqft,Super Area
"3 BHK 1430 Sqft Apartment for Sale in Mannagudda, Mangalore.",85.78 Lakh,1430 sqft,Super Area
"3 BHK 1555 Sqft Apartment for Sale in Derebail, Mangalore.",76 Lakhs,1555 sqft,Super Area
"2 BHK 1075 Sqft Apartment for Sale in Bejai, Mangalore.",69.87 Lakh,1075 sqft,Super Area
"3 BHK Apartment for Sale in Kulai, Mangalore",1.23 Crore,1870 sqft,Super Area
"2 BHK Apartment for Sale in Bondel, Mangalore",42.34 Lakh,941 sqft,Super Area
"4+ BHK Apartment for Sale in Shivabaugh, Mangalore",4.18 Crore,5052 sqft,Super Area
"2 BHK Apartment for Sale in Kadri, Mangalore",35.67 Lakh,1100 sqft,Super Area
"2 BHK Apartment for Sale in Kadri, Mangalore",32.99 Lakh,1100 sqft,Super Area
"2 BHK Apartment for Sale in Kulai, Mangalore",64.16 Lakh,975 sqft,Super Area
"2 BHK 1075 Sqft Apartment for Sale in Bejai, Mangalore.",69.87 Lakh,1075 sqft,Super Area
